19.02.2021 18:04 (EMOD) | name: barrier_railing_10 pos: 5.120748 22.637455 102.244263 flags: 4 
19.02.2021 18:04 (EMOD) | name: BenCollision pos: 83.174026 -5.772602 41.947002 flags: 42 
19.02.2021 18:04 (EMOD) | name: bracket_01 pos: 76.261093 -2.999999 4.143488 flags: 4 
19.02.2021 18:04 (EMOD) | name: bracket_02 pos: 76.261093 -1.499998 4.143488 flags: 4 
19.02.2021 18:04 (EMOD) | name: bracket_03 pos: 76.261093 -1.499998 -4.143488 flags: 4 
19.02.2021 18:04 (EMOD) | name: bracket_04 pos: 76.261093 -2.999999 -4.143488 flags: 4 
19.02.2021 18:04 (EMOD) | name: bracket_05 pos: 52.261093 -2.999999 2.792052 flags: 4 
19.02.2021 18:04 (EMOD) | name: cargo_1_switchroom02 pos: 19.076487 19.298624 25.674759 flags: 4 
19.02.2021 18:04 (EMOD) | name: cargo_1_switchroom03 pos: 19.076487 19.298624 25.674759 flags: 4 
19.02.2021 18:04 (EMOD) | name: Cargo_1_switchroom_00 pos: 19.076487 19.298624 25.674759 flags: 4 
19.02.2021 18:04 (EMOD) | name: Cargo_1_switchroom_01 pos: 19.076487 19.298624 25.674759 flags: 4 
19.02.2021 18:04 (EMOD) | name: Cargo_ceiling_00 pos: 41.526630 14.591094 26.002316 flags: 4 
19.02.2021 18:04 (EMOD) | name: cargo_ceiling_01 pos: 33.969032 14.591075 33.523121 flags: 4 
19.02.2021 18:04 (EMOD) | name: cargo_ceiling_02 pos: 41.526630 14.591094 26.002316 flags: 4 
19.02.2021 18:04 (EMOD) | name: cargo_doorframe pos: 48.000053 19.374516 26.003181 flags: 4 
19.02.2021 18:04 (EMOD) | name: cargo_railings00 pos: 62.009323 21.436115 29.623726 flags: 4 
19.02.2021 18:04 (EMOD) | name: cargo_railings02 pos: 62.009323 21.436115 29.623726 flags: 4 
19.02.2021 18:04 (EMOD) | name: cargo_railings05 pos: 62.009151 21.436396 21.381866 flags: 4 
19.02.2021 18:04 (EMOD) | name: cargo_railings_03 pos: 62.009151 21.436396 21.381866 flags: 4 
19.02.2021 18:04 (EMOD) | name: cargocorridor_04 pos: 64.028915 -14.272179 91.393143 flags: 4 
19.02.2021 18:04 (EMOD) | name: CargoCorridorCorner_05 pos: 42.003628 14.499998 34.003815 flags: 42 
19.02.2021 18:04 (EMOD) | name: Cargocrossroads_03 pos: 74.003052 14.500005 25.999973 flags: 42 
19.02.2021 18:04 (EMOD) | name: ceiling_911 pos: 27.118084 -11.875884 1.062500 flags: 4 
19.02.2021 18:04 (EMOD) | name: ceiling_912 pos: 27.000002 -11.875651 -6.062499 flags: 4 
19.02.2021 18:04 (EMOD) | name: ceiling_mesh_cover_01 pos: 53.999886 -9.622150 9.008127 flags: 4 
19.02.2021 18:04 (EMOD) | name: ceiling_mesh_cover_02 pos: 72.005241 -8.153363 8.509288 flags: 4 
19.02.2021 18:04 (EMOD) | name: ceiling_vent_ent_01 pos: 24.995659 -11.194475 2.981120 flags: 5 
19.02.2021 18:04 (EMOD) | name: ceiling_vent_ent_02 pos: 24.995659 -11.194475 -7.016550 flags: 5 
19.02.2021 18:04 (EMOD) | name: COL_anti_pred_fence pos: 89.813927 3.947172 131.784866 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_cargo_annex_rails pos: 47.108189 16.344522 17.452562 flags: 650 
19.02.2021 18:04 (EMOD) | name: COL_duct_56 pos: 46.984818 15.961007 14.333753 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_guardrails_1 pos: -0.000074 22.999111 101.999977 flags: 74 
19.02.2021 18:04 (EMOD) | name: COL_lab_ext_rails pos: 63.993725 -19.557552 103.902519 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_lab_ext_rails04 pos: 11.010688 4.776011 106.973389 flags: 106 
19.02.2021 18:04 (EMOD) | name: COL_lab_ext_rails05 pos: 50.447334 -20.125740 97.023674 flags: 106 
19.02.2021 18:04 (EMOD) | name: COL_lab_ext_rails06 pos: 90.445168 -10.128874 101.027420 flags: 106 
19.02.2021 18:04 (EMOD) | name: COL_lab_land_01 pos: 63.993725 -19.557552 103.902519 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_lab_land_02 pos: 63.993725 -19.557552 103.902519 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_lab_land_04 pos: 146.600830 -21.587694 31.757168 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_lab_land_05 pos: 63.993725 -19.557552 103.902519 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_lab_land_06_J pos: 3.630327 -8.226227 107.387527 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_Lab_New_StairRail pos: 63.993725 -19.557552 103.902519 flags: 106 
19.02.2021 18:04 (EMOD) | name: COL_LiftShaft_4x4_01a_wz02 pos: 41.999020 -12.062510 88.709564 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_monorail_station_elev pos: 0.000000 18.496140 64.000000 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_monorail_station_left pos: 0.000000 18.496140 64.000000 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_monorail_station_left_02 pos: 0.000000 18.496140 64.000000 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_monorail_station_right pos: 0.000000 18.496140 64.000000 flags: 42 
19.02.2021 18:04 (EMOD) | name: Col_monorail_station_right02 pos: 0.000000 18.496140 64.000000 flags: 42 
19.02.2021 18:04 (EMOD) | name: col_pod_01_int_01 pos: 3.630327 -8.226227 107.387527 flags: 42 
19.02.2021 18:04 (EMOD) | name: col_pod_01_int_02 pos: 63.260448 -15.486059 103.650963 flags: 42 
19.02.2021 18:04 (EMOD) | name: col_pod_01_int_03 pos: 115.287483 -2.982297 118.213982 flags: 42 
19.02.2021 18:04 (EMOD) | name: col_pod_2_inside pos: 57.891193 -15.689070 84.537910 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_pod_89 pos: 63.184181 -19.557552 103.902519 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_pod_exteior_99 pos: 63.993725 -19.557552 103.902519 flags: 42 
19.02.2021 18:04 (EMOD) | name: col_pod_gen_rails pos: 23.760647 16.827574 126.131126 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_podrails_04 pos: 25.435188 11.428460 104.032539 flags: 1610 
19.02.2021 18:04 (EMOD) | name: COL_podrails_05 pos: 64.870430 -13.472904 94.082687 flags: 1642 
19.02.2021 18:04 (EMOD) | name: COL_podrails_06 pos: 104.023941 -3.483335 103.088295 flags: 1610 
19.02.2021 18:04 (EMOD) | name: COL_pods_01 pos: 63.993725 -19.557552 103.902519 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_pred_door_01 pos: 63.993725 -19.557552 103.902519 flags: 10 
19.02.2021 18:04 (EMOD) | name: COL_rail_entrance pos: 3.630327 -8.226227 107.387527 flags: 10 
19.02.2021 18:04 (EMOD) | name: COL_rails_service_01 pos: 39.569973 21.461002 21.907652 flags: 554 
19.02.2021 18:04 (EMOD) | name: COL_scientist_corridor pos: 97.782784 -4.499998 15.741764 flags: 0 
19.02.2021 18:04 (EMOD) | name: COL_station_gantry_1_railing_2 pos: 0.000000 11.373002 69.974701 flags: 1642 
19.02.2021 18:04 (EMOD) | name: COL_station_gantry_2_railing pos: 0.000000 11.373002 70.026299 flags: 1642 
19.02.2021 18:04 (EMOD) | name: COL_station_platform_railing_1 pos: -12.896738 21.424961 50.006527 flags: 106 
19.02.2021 18:04 (EMOD) | name: COL_station_platform_railing_2 pos: 12.896738 21.424961 50.006527 flags: 106 
19.02.2021 18:04 (EMOD) | name: COL_station_tunnel pos: 0.000000 18.496136 64.000000 flags: 42 
19.02.2021 18:04 (EMOD) | name: col_switchroom02 pos: 17.087296 19.999180 29.054567 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_wz_corr_end01 pos: 25.766800 -3.536638 34.359028 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_wz_corr_end03 pos: 99.762932 -3.535430 84.362450 flags: 42 
19.02.2021 18:04 (EMOD) | name: COL_wz_corr_end05 pos: 30.000357 -4.370138 61.625355 flags: 42 
19.02.2021 18:04 (EMOD) | name: coll_colony_12 pos: 85.984726 -7.003263 86.536758 flags: 42 
19.02.2021 18:04 (EMOD) | name: Coll_eggroom_railing pos: 65.000023 -1.699784 0.662797 flags: 1642 
19.02.2021 18:04 (EMOD) | name: Coll_Medlabs_00 pos: 29.999472 -4.999188 27.999748 flags: 10 
19.02.2021 18:04 (EMOD) | name: Coll_Medlabs_01 pos: 29.999472 -4.999188 27.999748 flags: 10 
19.02.2021 18:04 (EMOD) | name: Coll_Medlabs_02 pos: 29.999472 -4.999188 27.999748 flags: 10 
19.02.2021 18:04 (EMOD) | name: Coll_Medlabs_04 pos: 82.489510 -7.133009 -21.000011 flags: 10 
19.02.2021 18:04 (EMOD) | name: Coll_Medlabs_08 pos: 29.999472 -4.999188 27.999748 flags: 10 
19.02.2021 18:04 (EMOD) | name: Coll_Medlabs_artifact pos: 32.763493 -9.499668 -33.746262 flags: 2 
19.02.2021 18:04 (EMOD) | name: Coll_queen_uppercor pos: 83.174026 -5.772602 41.947002 flags: 42 
19.02.2021 18:04 (EMOD) | name: Coll_queenroom_left pos: 83.174026 -5.772602 41.947002 flags: 42 
19.02.2021 18:04 (EMOD) | name: Coll_queenroom_right pos: 83.174026 -5.772602 41.947002 flags: 34 
19.02.2021 18:04 (EMOD) | name: Coll_queenshaft pos: 83.174026 -5.772602 41.947002 flags: 42 
19.02.2021 18:04 (EMOD) | name: COLMESH_monorail pos: 0.000000 23.499989 45.200001 flags: 2 
